Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Arfia,junnei,NA,1.19,NA,6.4,5.88,NA,5.6,7.15,7.4,NA,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported mean,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported mean,NA,NA,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported value,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported mean,Gingerich (1989) University of Michigan Papers on Paleontology 28 1-97,Reported mean,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Protictis,schaffi,NA,NA,NA,6.4,NA,NA,5.36,NA,NA,NA,"Gingerich et al (1985) Contributions from the Museum of Paleontology, University of Michigan. 27: 87-128",Reported mean,NA,NA,NA,NA,"Gingerich et al (1985) Contributions from the Museum of Paleontology, University of Michigan. 27: 87-128",Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Mustelictis,piveteaui,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,Lange (1970),Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Broiliana,nobilis,NA,NA,NA,6.5,NA,NA,7.25,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Bassariscus,parvus,NA,1.69,NA,6.5,NA,NA,6.9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Otarocyon,cooki,3,1.34,NA,6.5,NA,NA,6.51,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cynarctoides,gawnae,NA,2.18,NA,6.6,NA,NA,8,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported value,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Lophocyon,paraskevaidisi,NA,NA,NA,6.6,NA,NA,7.75,NA,NA,NA,Koufos et al (1995) Geobios 28 511-523,Reported value,NA,NA,NA,NA,Koufos et al (1995) Geobios 28 511-523,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Genetta,genetta,NA,NA,1.8,6.6,NA,NA,7.6,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Midpoint of range,NA,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Kichechia,zamanae,NA,NA,NA,6.6,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Teratodon,spekei,NA,NA,NA,6.6,6.8,6.75,6,7.35,9.4,NA,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Cynohyaenodon,lautricensis,NA,NA,NA,6.7,7.7,8.2,NA,NA,NA,NA,Lange-Badre (1978) Bulletin de la Société d’Histoire Naturelle de Toulouse 114 472-483,Reported value,Lange-Badre (1978) Bulletin de la Société d’Histoire Naturelle de Toulouse 114 472-483,Reported value,Lange-Badre (1978) Bulletin de la Société d’Histoire Naturelle de Toulouse 114 472-483,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Otocyon,recki,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,Pohle (1928) Wissenschaftliche Ergebnisse der Oldoway-Expedition 1913 (N F) 3 45-54,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Promephitis,hootoni,3.4,3.4,NA,6.7,NA,NA,8.87,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported mean,NA,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Thinocyon,medius,NA,NA,NA,6.7,6.9,3.55,6.78,7.25,Not Present,NA,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,"Morlo & Gunnell (2003) Contributions from the Museum of Paleontology, University of Michigan 31 43-78",Midpoint of range,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Archaeocyon,pavidus,NA,1.84,NA,6.73,NA,NA,7.36,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Arfia,gingerichi,NA,NA,NA,6.75,5.45,NA,5.89,6.9,6.79,NA,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,NA,NA,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported value,Smith & Smith (2001) Belgian Journal of Zoology 131 117-135,Reported mean,NA,NA,Accepted
