Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Musteloidea_not_assigned_to_family,Franconictis,vireti,NA,NA,NA,7.5,NA,NA,7.55,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Paratritemnodon,indicus,NA,NA,NA,7.5,7.8,8,6.5,7.5,8.5,NA,Dehradun (1992) Paläontologische Zeitschrift 66 387-403,Reported value,Dehradun (1992) Paläontologische Zeitschrift 66 387-403,Reported value,Dehradun (1992) Paläontologische Zeitschrift 66 387-403,Reported value,Dehradun (1992) Paläontologische Zeitschrift 66 387-403,Reported value,Dehradun (1992) Paläontologische Zeitschrift 66 387-403,Reported value,Dehradun (1992) Paläontologische Zeitschrift 66 387-403,Reported value,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,raineyi,NA,1.09,NA,7.5,7.6,8.4,5.85,6.45,7.85,NA,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Midpoint of range,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Midpoint of range,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Midpoint of range,NA,NA,Accepted
Carnivoramorpha,Canidae,Cynarctoides,acridens,NA,2.61,NA,7.55,NA,NA,8.44,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ailuridae,Ailurus,fulgens,5,NA,4.9,7.6,NA,NA,NA,NA,NA,NA,Sasagawa et al (2003) Journal of Vertebrate Paleontology 23 895-900,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Euboictis,aliverensis,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,Koufos et al (1995) Geobios 28 511-523,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Sivanasua,moravica,NA,NA,NA,7.6,NA,NA,9,NA,NA,NA,Koufos et al (1995) Geobios 28 511-523,Reported value,NA,NA,NA,NA,Koufos et al (1995) Geobios 28 511-523,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Tytthaena,parrisi,NA,3.02,NA,7.6,6.5,NA,7.1,6.6,Not Present,NA,Gingerich (1980) Journal of Paleontology 54 570-576,Reported value,Gingerich (1980) Journal of Paleontology 54 570-576,Reported value,NA,NA,Gingerich (1980) Journal of Paleontology 54 570-576,Reported value,Gingerich (1980) Journal of Paleontology 54 570-576,Reported value,NA,NA,NA,NA,Accepted
Carnivoramorpha,Outside_extant_families,Palaeogale,hyaenoides,1,NA,NA,7.65,NA,NA,7.1,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Craterogale,simus,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,Wang et al (2004) Zoological Journal of the Linnean Society 142 405-421,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Pseudobassaris,riggsi,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
