Auhtor,Year ,Journal ,Paper
"Lavrov AV, Lopatin AV",2004,Paleontologicheskii Zhurnal 38: 48 - 457,"A New Species of Arfia (Hyaenodontidae, Creodonta) from the basal Eocene of Mongolia"
"Le Verger K, Solé F, Ladevèze S",2020,Geodiversitas 42: 239 - 255,"Description of a new species of Cynodictis Bravard & Pomel, 1850 (Carnivora, Mammalia) from the Quercy Phosphorites with comments on the use of skull morphology for phylogenetics"
"Li Y, Spassov N",2017,Paläontologische Zeitschrift 91: 409 - 426,"A new species of Paramachaerodus (Mammalia, Carnivora, Felidae) from the late Miocene of China and Bulgaria, and revision of Promegantereon Kretzoi, 1938 and Paramachaerodus Pilgrim, 1913"
Lillegraven JA,1969,The University of Kansas Paleontological Contributions 50: 1 - 122,"Latest Cretaceous mammals of upper part of Edmonton Formation of Alberta, Canada, and review of marsupial-placental dichotomy in mammalian evolution"
"Lim JD, Martin LD",2001,Current Science 81: 314 - 317,New evidence for plant-eating in a Miocene mustelid
"Lim JD, Martin LD, Wilson RW",2001,Journal of Paleontology 75: 1043 - 1046,"A new species of Leptarctus (Carnivora, Mustelidae) from the Late Miocene of Texas"
"Liu L, Huang X",2002,Vertebrata PalAsiatica 40: 133 - 138,"Propterodon (Hyaenodontidae Creodonta, Mammalia) from the Middle Eocene of Yuanqu Basin, Shanxi Province"
Loomis FB,1932,American Journal of Science 24: 316 - 329,The small carnivores of the Miocene
Lucenti SB,2017,Rivista Italiana di Paleontologia e Stratigrafia 123: 211 - 218,"Nyctereutes megamastoides (Canidae, Mammalia) from the early and middle Villafranchian (Late Pliocene and Early Pleistocene) of the Lower Valdarno (Firenze and Pisa, Tuscany, Italy)"
Lucenti SB,2019,Acta Zoologica 100: 211 - 215,"“Measure my teeth and you’ll know what I ate”: The molar ratio method and an updated interpretation of the diet of Nyctereutes sinensis (Carnivora, Canidae)"
"Lucenti SB, Rook L",2016,Quaternary Science Reviews 151: 58 - 71,"A review on the Late Villafranchian medium-sized canid Canis arnensis based on the evidence from Poggio Rosso (Tuscany, Italy)"
Lydekker R,1886,"Palaeontologica Indica, Series X 4: 23 - 58",The Fauna of the Karnul Caves
"Lyras GA, van der Geer AAE, Rook L",2010,Journal of Biogeography 37: 1007 - 1021,Body size of insular carnivores: evidence from the fossil record
"Madurell-Malapeira J, Alba DM, Moyà-Solà S, Aurell-Garrido J",2010,Comptes Rendus Palevol 9: 55 - 62,"The Iberian record of the puma-like cat Puma pardoides (Owen, 1846) (Carnivora, Felidae)"
Marciszak A,2014,Quaternary International 326-327: 105 -113,"Presence of Panthera gombaszoegensis (Kretzoi, 1938) in the late Middle Pleistocene of Bisnik Cave, Poland, with an overview of Eurasian jaguar size variability"
Marsh OC,1872,American Journal of Science 4: 202 - 224 ,"Notice of some new fossil mammals from the Tertiary formations of the West, Parts II–IV "
Matthew WD,1902,Bulletin of the American Museum of Natural History 16: 130 - 136,A skull of Dinocyon from the Miocene of Texas
Matthew WD,1909,Memoirs of the American Museum of Natural History 9: 291 - 576,"The carnivora and insectivora of the Bridger Basin, middle Eocene"
"Matthew WD, Gidley JW",1904,Bulletin of the American Museum of Natural History 20: 241 - 268,New or little known mammals from the Miocene of South Dakota : American Museum expedition of 1903.
Mayet L,1908,"Annales de l'Université de Lyon, N.S. 24: 1 - 336",Étude des mammifères miocènes des sables de l’Orléanais et des faluns de la Touraine
"Meehan TJ, Wilson RW",2002,Journal of Paleontology 76: 1091 - 1101,"New Viverravids from the Torrejonian (Middle Paleocene) of Kutz Canyon, New Mexico and the oldest skull of the Order Carnivora"
Mellett JS,1969,American Museum Novitates 2387: 1 - 19,"A skull of Hemipsalodon (Mammalia, Deltatheridia) From the Clarno formation of Oregon"
"Meng J, Zhai R, Wyss AR",1998,Bulletin of Carnegie Museum of Natural History 34: 148 - 185,"The late Paleocene Bayan Ulan fauna of Inner Mongolia, China"
Merriam JC,1919,"University of California Publications, Bulletin of the Department of Geology 11: 437 - 585",Tertiary mammalian faunas of the Mohave Desert.
"Montoya P, Alcalá L, Morales J",2011,Boletín de la Real Sociedad Española de Historia Natural. Sección geológica 96: 101 - 109,"Primer hallazgo de un vivérrido (Carnivora, Mammalia) en el Mioceno superior de la Fosa de Teruel"
"Montoya P, Morales J, Abella J",2011,Estudios Geológicos 67: 193 - 206,"Musteloidea (Carnivora, Mammalia) from the Late Miocene of Venta del Moro (Valencia, Spain)"
"Montoya P, Morales J, Abella J",2011,Geodiversitas 31: 709 - 722,"Eucyon debonisi n. sp., a new Canidae (Mammalia, Carnivora) from the latest Miocene of Venta del Moro (Valencia, Spain)"
"Morales J, Pickford M",2005,Estudios Geológicos 61: 233 - 246,Giant bunodont Lutrinae from the Mio-Pliocene of Kenya and Uganda
"Morales J, Pickford M",2005,Estudios Geológicos 61: 271 - 284,"Carnivores from the Middle Miocene Ngorora Formation (13-12 Ma), Kenya"
"Morales J, Pickford M",2006,Annales de Paléontologie 92: 359 - 366,"A large Percrocutid Carnivore from the Late Miocene (ca. 10–9 Ma) of Nakali, Kenya"
"Morales J, Pickford M",2008,Comptes Rendus Palevol 7: 487 - 497,"Creodonts and carnivores from the Middle Miocene Muruyur Formation at Kipsaraman and Cheparawa, Baringo District, Kenya"
"Morales J, Pickford M",2011,Geobios 44: 271 - 277,A new paradoxurine carnivore from the Late Miocene Siwaliks of India and a review of the bunodont viverrids of Africa
"Morales J, Pickford M, Soria D",2005,Revista de la Sociedad Geológia de España 18: 39 - 61,"Carnivores from the Late Miocene and Basal Pliocene of the Tugen Hills, Kenya"
"Morales J, Pickford M, Soria D",2007,Paleontological Research 11: 71 - 84,"New carnivoran material (Creodonta, Carnivora and Incertae sedis) from the Early Miocene of Napak, Uganda"
"Morales J, Pickford M, Soria D, Fraile S",2001,Palaeontologia Africana 37: 99 - 102,"New Viverrinae (Carnivora: Mammalia) from the basal Middle Miocene of Arrisdrift, Namibia"
"Morales J, Pickford M,Valenciano A",2016,Journal of Iberian Geology 42: 131 - 150,"Systematics of African Amphicyonidae, with descriptions of new material from Napak (Uganda) and Grillental (Namibia)"
"Morales J, Salesa MJ",2008,Memoir of the Geological Survey of Namibia 20: 291 - 310,"Creodonta and Carnivora from the Early Miocene of the Northern Sperrgebiet, Namibia"
"Morales J, Salesa MJ, Pickford M, Soria D",2001,Transactions of the Royal Society of Edinhurgh Earth Sciences 92: 97 - 102,"A new tribe, new genus and two new species of Barbourofelinae (Felidae, Carnivora, Mammalia) from the Early Miocene of East Africa and Spain"
Morlo M,1996,Senckenbergiana lethaea 76: 193 - 249,"Carnivoren aus dem Unter-Miozän des Mainzer Beckens (2. Mustelida, Pinnipedia, Feliformia, Palaeogale)"
"Morlo M, Bastl K, Wenhao W, Schaal SFK",2014,Paleontology 57: 111 - 125,"The first species of Sinopa (Hyaenodontida, Mammalia) from outside of North America: implications for the history of the genus in the Eocene of Asia and North America"
"Morlo M, Gunnell GF",2003,"Contributions from the Museum of Paleontology, University of Michigan 31: 43 -78","Small limnocyonines (Hyaenodontidae, Mammalia) from the Bridgerian Middle Eocene of Wyoming: Thinocyon, Prolimnocyon, and Iridodon, New Genus"
"Morlo M, Habersetzer J ",1999,Courier Forschungsinstitut Senckenberg 216: 31 - 73,"The Hyaenodontidae (Creodonta, Mammalia) from the lower Middle Eocene (MP 11) of Messel (Germany) with special remarks on new x-ray methods"
"Morlo M, Maitre AL, Bastl K, Engel T, Lutz H, Lischewsky B, von Berg A, Nagel D",2019,Historical Biology DOI: 10.1080/08912963.2019.1683172,"First record of the mustelid Trochictis (Carnivora, Mammalia) from the early Late Miocene (MN 9/10) of Germany and a re-appraisal of the genus Trochictis"
"Morlo M, Maitre AL, Bastl K, Engel T, Lutz H, Lischewsky B",2019,Journal of Vertebrate Paleontology 39: e1705848,"The apex of amphicyonid hypercarnivory: solving the riddle of Agnotherium antiquum Kaup, 1833 (Mammalia, Carnivora)"
"Morlo M, Miller ER, Bastl K, Abdelgawad MK, Hamdan M, El-Barkooky AN, Nagel D",2019,Geodiversitas 41: 731 - 745,"New Amphicyonids (Mammalia, Carnivora) from Moghra, Early Miocene, Egypt"
"Morlo M, Miller ER, El-Barkooky AN",2007,Journal of Vertebrate Paleontology 27: 145 - 159,"Creodonta and Carnivora from Wadi Moghra, Egypt"
"Morlo M, Peigné S, Nagel D",2004,Zoological Journal of the Linnean Society 140: 43 - 61,"A new species of Prosansanosmilus: implications for the systematic relationships of the family Barbourofelidae new rank (Carnivora, Mammalia)"
Nagel D,2009,Annalen des Naturhistorischen Museums in Wien 111A: 605 - 618,"The early Vallesian vertebrates of Atzelsdorf (Late Miocene, Austria). 10. Carnivora"
"O’Regan HJ, Cohen BF, Steininger CM",2013,Palaeontologica Africana 48: 19 - 23,"Mustelid and viverrid remains from the Pleistocene site of Cooper’s D, Gauteng, South Africa"
"O’Regan HJ, Steininger C ",2017,Geodiversitas 39: 315 - 332,"Felidae from Cooper’s Cave, South Africa (Mammalia: Carnivora)"
"Ogino S, Egi N, Maung-Thein ZM, Hitke T, Takai M",2011,Journal of Asian Earth Sciences 42: 408 - 414,"New species of Agriotherium (Mammalia, Carnivora) from the late Miocene to early Pliocene of central Myanmar"
"Ogino S, Nakaya H, Takai M, Fukuchi A, Maschenko EN, Kalmykov NP",2009,Paleontological Research 13: 259 - 264,"Mandible and lower dentition of Parailurus baikalicus (Ailuridae, Carnivora) from Transbaikal area, Russia"
Owen PR,2006,Palaeontology 49: 999 - 1011,Descripton of a new Late Miocene American badger (Taxiidiinae) utilizing high-resolution x-ray computed tomography
"Palmqvist P, Torregrosa V, Pérez-Claros JA, Martínez-Navarro B, Turner A",2007,Journal of Vertebrate Paleontology 27: 160 - 175,"A re-evaluation of the diversity of Megantereon (Mammalia, Carnivora, Machairodontinae) and the problem of species identification in extinct carnivores"
"Paterson R, Samuels JX, Rybczynski N, Ryan MJ, Maddin HC",2020,Zoological Journal of the Linnean Society 188: 1318 -1339,The earliest mustelid in North America
Pavlow M,1908,"Memoires de la Societe des Naturalistes de la Nouvelle-Russie, Odessa 32: 27 - 48",Quelques carnivores fossiles du gouvernement de Kherson et de Bessarabie 
Peigné S,1999,Bulletin de la Société d’Histoire Naturelle de Toulouse 135: 125 - 134,"Proailurus, one of the oldest Felidae Carnivora from Eurasia systematics and evolution"
Peigné S,2000,Comptes Rendus de l'Academie des Sciences Series IIA Earth and Planetary Science 330: 653 - 658,"A new species of Eofelis (Carnivora: Nimravidae) from the Phosphorites of Quercy, France"
Peigné S,2001,Geobios 34: 657 - 672,Une nouvelle espece du genre Eusmilus (Carnivora: Nimravidae) de l'Oligocene (MP 22) d'Europe.
Peigné S,2002,Zoologica Scripta 32: 199 - 229,"Systematic review of European Nimravinae (Mammalia, Carnivora, Nimravidae) and the phylogenetic relationships of Palaeogene Nimravidae"
Peigné S,2012,Memoires du Muséum National d’Histoire Naturelle 203: 559 - 660,Carnivora de Sansan
Peigné S,2016,Geodiversitas 38: 197 - 224,"Late Miocene mammal locality of Küçükçekmece, European Turkey."
"Peigné S, Bonis L",1999,Journal of Vertebrate Paleontology 19: 566 - 575,"The genus Stenoplesictis Filhol (Mammalia, Carnivora) from the Oligocene deposits of the Phosphorites of Quercy, France"
"Peigné S, Bonis L, Likius A, Mackaye HT, Vignaud P, Brunet M",2005,Comptes Rendus Palevol 4: 243 - 253,"A new machairodontine (Carnivora, Felidae) from the Late Miocene hominid locality of TM 266, Toros-Menalla, Chad"
"Peigné S, Bonis L, Likius A, Mackaye HT, Vignaud P, Brunet M",2005,Naturwissenschaften 92: 287 - 292,"The earliest modern mongoose (Carnivora, Herpestidae) from Africa (late Miocene of Chad)"
"Peigné S, Bonis L, Mackaye HT, Likius A, Vignaud P, Brunet M",2008,Comptes Rendus Palevol 7: 499 - 527,"Late Miocene Carnivora from Chad: Herpestidae, Viverridae and small-sized Felidae"
"Peigné S, Chaimanee Y, Yamee C, Srisuk P, Marandat B, Jaeger JJ",2006,Journal of Vertebrate Paleontology 26: 788 - 793,A new member of the Mustelida (Mammalia: Carnivora) from the paleogene of southern asia
"Peigné S, Heizmann E",2003,Stuttgarter Beiträge zur Naturkunde B 343: 1 -133,"The Amphicyonidae (Mammalia: Carnivora) from Ulm-Westtangente (MN 2, Early Miocene), Baden-Württemberg, Germany – Systematics and ecomorphology"
"Peigné S, Salesa MJ, Antón M, Morales J",2005,Acta Palaeontologica Polonica 50: 219 - 238,Ailurid carnivoran mammal Simocyon from the late Miocene of Spain and the systematics of the genus
"Peigné S, Salesa MJ, Antón M, Morales J",2008,Palaeontology 51: 943 - 965,"A new amphicyonine (Carnivora: Amphicyonidae) from the Upper Miocene of Batallones-1, Madrid, Spain"
"Petrucci M, Romiti S, Sardella R",2012,Bollettino della Società Paleontologica Italiana 51: 137 - 148,"The Middle-Late Pleistocene Cuon Hodgson, 1838 (Carnivora, Canidae) from Italy"
Petter G,1967,Annales de Paléontologie 53: 93 - 117,Mustelides nouveaux du Vallesien de Catalogne
Petter G,1967,Bulletin de la Société Géologique de France S7-IX: 19 - 23,"Paragale huerzeleri nov. gen., nov. sp., mustelide nouveau de l'Aquitanien de l'Allier"
Petter G,1973,Fossil Vertebrates of Africa 3: 43 - 100,Carnivores Pleistocenes du Ravin d'Olduvai (Tanzanie)
Pilgrim GE,1932,Paleontologica Indica 18: 1 - 232,The fossil Carnivora of India. Memoirs of the Geological Survey of India
Pilgrim GE,1933,American Museum Novitates 663: 1 - 15,A fossil skunk from Samos
Pohle H,1928,Wissenschaftliche Ergebnisse der Oldoway-Expedition 1913 (N F) 3: 45 - 54,Die Raubtiere von Oldoway
Polly PD,1996,Journal of Vertebrate Paleontology 16: 303 - 319,"The skeleton of Gazinocyon vulpeculus gen. et comb. nov. and the cladistic relationships of Hyaenodontidae (Eutheria, Mammalia)"
Polly PD,1997,"Contributions from the Museum of Paleontology, University of Michigan 30: 1 - 53","Ancestry and species definition on paleontology: A stratocladistic analysis of Paleogene-Eocene Vivarravidae (Mammalia, Canivora) from Wyoming "
Prassack KA,2016,Journal of Vertebrate Paleontology 36: e1149075,"Lontra weiri, sp. nov., a Pliocene river otter (Mammalia, Carnivora, Mustelidae, Lutrinae) from the Hagerman Fossil Beds (Hagerman Fossil Beds National Monument), Idaho, U.S.A."
Prevosti FJ,2005,Geobios 39: 679 - 694,"New material of Pleistocene cats (Carnivora, Felidae) from Southern South America, with comments on biogeography and the fossil record"
"Qiu Z, Qi G",1990,Vertebrate PalAsiatica 28: 270 - 283,Restudy of mammalian fossils referred to Ursinae indet. from Lufengpithecus locality.
"Qiu Z, Tao D, Banyue W",2004,"Palaeontologia Sinica, New Series C 191: 1 - 198","Early Pleistocene mammalian fauna from Longdon, Dongxiang, Gansu, China"
"Qiu Z, Tedford RH",2003,Vertebrate PalAsiatica 41: 278 - 288,"A new species of Indarctos from Baode, China"
"Raghavan P, Pickford M, Patnaik R, Gayathri P",2007,Estudios Geológicos 63: 135 -146,"First fossil small-clawed otter, Amblonyx, with a note on some specimens of Lutra, from the Upper Siwaliks, India"
Rigby JK,1980,Evolutionary Monographs 3: 1 - 178,"Swain Quarry of the Fort Union Formation, Middle Paleocene (Torrejonian), Carbon County, Wyoming: geologic setting and mammalian fauna"
"Rincon A, Prevosti FJ, Parra GE",2011,Journal of Vertebrate Paleontology 31: 468 - 478,"New saber-toothed cat records (Felidae: Machairodontinae) for the Pleistocene of Venezuela, and the Great American Biotic Interchange"
Robinson P,1966,"Bulletin of the Peabody Museum of Natural History, Yale University 21: 1 - 95","Fossil Mammalia of the Huerfano Formation, Eocene, of Colorado"
"Rook L, Martínez-Navarro B",2004,Rivista Italiana di Paleontologia e Stratigrafia 110: 719 - 723,"Viverra howelli n. sp., a new viverrid (carnivora, mammalia) from the Baccinello-Cinigiano basin (Latest Miocene, Italy"
Rose KD,1981,University of Michigan Papers on Paleontology 26: 1 - 197,The Clarkforkian land-mammal age and mammalian faunal composition across the Paleocene-Eocene boundary
Roth C,1988,Paläontologische Zeitschrift 62: 333 - 343,"Leptoplesictis Major 1903 (Mammalia, Carnivora, Viverridae) aus dem Orleanium und Astaracium/Miozlin von Frankreich und Deutschland"
Roth C,1989,Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 29: 163 - 205 ,"Die Raubtierfauna (Carnivora, Mamm.) der untermiozänen Spaltenfüllung von Erkertshofen 2 bei Eichstätt/Bayern"
Rothwell T,2003,American Museum Novitates 3403: 1 - 64,Phylogenetic systematics of North American Pseudaelurus (Carnivora: Felidae)
"Samuels JX, Cavin J",2013,Journal of Vertebrate Paleontology 33: 448 - 454,"The earliest known fisher (Mustelidae), a new species from the Rattlesnake Formation of Oregon"
"Sardella R, Iorino DA",2012,Bollettino della Società Paleontologica Italiana 51: 15 - 22,"The latest Early Pleistocene sabertoothed cat Homotherium (Felidae, Mammalia) from Monte Peglia (Umbria, central Italy)"
"Sardella R, Werdelin L",2007,Rivista Italiana di Paleontologia e Stratigrafia 113: 67 - 77,"Amphimachairodus (Felidae, Mammalia) from Sahabi (latest Miocene - earliest Pliocene, Libya), with a review of African Miocene Machairodontinae"
"Sasagawa I, Takahashi K, Sakumoto T, Nagamori H, Yabe H, Kobayashi I",2003,Journal of Vertebrate Paleontology 23: 895 - 900,"Discovery of the extinct red panda Parailurus (Mammalia, Carnivora) in Japan"
Savage RJG,1965,Bulletin of the British Museum (Natural History) Geology 10: 242 - 316,Fossil mammals of Africa: 19. The Miocene Carnivora of East Africa
Schlosser M,1888,Beiträge zur Paläontologie und Geologie Österreich-Ungarns und des Orients 7: 225 - 386,"Die Affen, Lemuren, Chiropteren, Insectivoren, Marsupialier, Creodonten und Carnivoren des europäischen Tertiärs und deren Beziehungen zu ihren lebenden und fossilen aussereuropäischen Verwandten. II."
Schlosser M,1902,Book,Beiträge zur Kenntnis der Säugetierreste aus den süddeutschen Bohnerzen
Scott WB,1887,"Journal of the Academy of Natural Sciences, Philadelphia 9: 155 -185",On some new and little known creodonts
Scott WB,1938,Annals of the Carnegie Museum 27: 113 - 120,"A Problematical cat-like mandible from the Uinta Eocene, Apatcelurus kayi Scott."
Sealfon RA,2007,Journal of Mammalogy 88: 371 - 383,Dental divergence supports species status of the extinct sea mink (Carnivora: Mustelidae: Neovison macrodon)
Shotwell JA,1970,Bulletin of the University of Oregon Museum of Natural History 17: 1 -103,Pliocene mammals of southeast Oregon and adjacent Idaho
"Simons EL, Gingerich PD",1974,Annals of the Geological Survey of Egypt 4: 157 - 166,New carnivorous mammals from the Oligocene of Egypt
Simpson GG,1930,Bulletin of the American Museum of Natural History 59: 149 - 211,Tertiary land mammals of Florida
Sinclair WJ,1915,Proceedings of the American Philosophical Society 54: 73 - 95,Additions to the Fauna of the Lower Pliocene Snake Creek Beds (Results of the Princeton University 1914 Expedition to Nebraska)
Sinclair WJ,1921,Proceedings of the American Philosophical Society 60: 96 - 98,A New Hoplophoneus from the Titanotherium Beds. Investigation aided by a grant from the Marsh Fund of the National Academy of Sciences
"Smith K, Czaplewski N, Cifelli RL",2016,Acta Palaeontologica Polonica 61: 231 - 252,"Middle Miocene carnivorans from the Monarch Mill Formation, Nevada"
"Smith T, Smith R",2001,Belgian Journal of Zoology 131: 117 - 135,"The creodonts (Mammalia, Ferae) from the Paleocene-Eocene transition in Belgium (Tienen Formation, MP7)"
Solé F,2014,Palaeontology 57: 963 - 978,New carnivoraforms from the early Eocene of Europe and their bearing on the evolution of the Carnivoraformes
"Solé F, Amson, Borths M, Vidalenc D, Morlo M, Bastl K",2015,PLoS One 10: e0135698,A New Large Hyainailourine from the Bartonian of Europe and Its Bearings on the Evolution and Ecology of Massive Hyaenodonts (Mammalia)
"Solé F, De Bast E, Codrea V, Gheerbrant E",2016,Journal of Vertebrate Paleontology 36: e1082480,"New carnivoraforms from the latest Paleocene of Europe and their bearing on the origin and radiation of Carnivoraformes (Carnivoramorpha, Mammalia)"
"Solé F, Falconnet J, Vidalenc D",2015,Palaeontology 58: 1049 - 1072,"New fossil Hyaenodonta (Mammalia, Placentalia) from the Ypresian and Lutetian of France and the evolution of the Proviverrinae in southern Europe"
"Solé F, Falconnet J, Yves L",2014,Zoological Journal of the Linnean Society 171: 878 - 917,New proviverrines (Hyaenodontida) from the early Eocene of Europe; phylogeny and ecological evolution of the Proviverrinae
"Solé F, Gheerbrant E, Godinot M",2011,Palaeontologia Electronica 14: 13A,"New data on the Oxyaenidae from the Early Eocene of Europe; biostratigraphic, paleobiogeographic and paleoecologic implications"
"Solé F, Gheerbrant E, Godinot M",2013,Geobios 46: 313 - 327,"Sinopaninae and Arfianinae (Hyaenodontida, Mammalia) from the Early Eocene of Europe and Asia; evidence for dispersal in Laurasia around the Paleocene/ Eocene boundary and for an unnoticed faunal turnover in Europe"
"Solé F, Lhuillier J, Adaci M, Bensalah M, Mahboubi M, Tabuce R",2014,Journal of Systematic Palaeontology 12: 303 - 322,"The hyaenodontidans from the Gour Lazib area (? Early Eocene, Algeria): implications concerning the systematics and the origin of the Hyainailourinae and Teratodontinae"
"Solé F, Morgane D, Verger KL, Bastien M",2018,Palaios 33: 514 - 523,Niche partitioning of the European carnivorous mammals during the Paleogene
"Solé F, Gheerbrant E, Amaghzaz M, Bouya B",2009,Zoological Journal of the Linnean Society 156: 827 - 846,"Further evidence of the African antiquity of hyaenodontid (‘Creodonta’, Mammalia) evolutionzon"
Sotnikova M,1989,Transactions of the Geological Institute of the Russian Academy of Sciences 440: 1 - 122,The carnivore mammals from the Pliocene to the early Pleistocene
Spassov N,2001,Geodiversitas 23: 87 - 104,"Zorillas (Carnivora, Mustelidae, Ictonychini) from the Villafranchian of Bulgaria with a description of a new species of Baranogale Kormos, 1934"
"Spassov N, Geraad Ds",2015,Journal of Mammalian Evolution 22: 45 - 56,"A new felid from the Late Miocene of the Balkans and the contents of the genus Metailurus Zdansky, 1924 (Carnivora, Felidae)"
"Spassov N, Koufos GD",2002,Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 42: 83 - 101,"The first appearance of Dinocrocuta gigantea and Machairodus aphanistus (Mammalia, Carnivora) in the Miocene of Bulgaria"
"Spassov N, Rook L",2006,Rivista Italiana di Paleontologia e Stratigrafia 112: 123 - 133,"Eucyon marinae sp. nov. (Mammalia, Carnivora), a new canid species from the Pliocene of Mongolia, with a review of forms referable to the genus"
"Spaulding M, Flynn JJ, Stucky RK",2010,Paleontology 53: 815 - 832,"A new basal Carnivoramorphan (Mammalia) from the 'Bridger B' (Black's Fork Member Formation, Bridgerian Nalma, middle Eocene) of Wyoming, USA"
Springhorn R,1980,Paläontologische Zeitschrift 54: 171 - 198,"Paroodectes feisti, the first Miacid (Carnivora, Mammalia) from the Middle Eocene of Messel"
Stach J,1951,Acta Geologica Polonica 2: 129 - 157,Arctomeles pliocaenicus new genus and species from Weze
Stach J,1959,Acta Palaeontologlca Polonica 4: 101 - 118,On some Mustelinae from the Pliocene bone breccia of Weze
Stach J,1961,Acta Palaeontologica Polonica 6: 321 - 329,On two carnivores from the Pliocene Breccia of Weze
Stromer E,1913,Zeitschrift der deutschen geologischen Gesellschaft 65: 350 - 372,Mitteilungen über Wirbeltierreste aus dem Mittelpliocän des Natrontales (Ägypten)
"Tchernov E, Ginsburg L, Tassy P, Goldsmith NF",1987,Journal of Vertebrate Paleontology 7: 284 - 310,Miocene mammals of the Negev (Israel)
"Tedford RH, Harrington R",2003,Nature 425: 388 - 390,An Arctic mammal fauna from the Early Pliocene of North America
"Tedford RH, Wang X, Taylor BE",2009,Bulletin of the American Museum of Natural History 325: 1 - 218,Phylogenetic systematics of the North American fossil Caninae (Carnivora: Canidae)
Teilhard C,1915,Annales de Paléontologie 9: 1 - 90,Les carnassiers des phosphorites du Quercy
"Thewissen JGM, Williams EM, Hussain T",2001,Journal of Vertebrate Paleontology 21: 347 - 366,Eocene mammal faunas from Northern Indo-Pakistan
"Thewissen JGM, Bajpai S",2008,Journal of Vertebrate Paleontology 28: 565 - 567,New Oligocene Mustelid From Western India
Tomiya S,2013,Palaeontologia Electronica 16: 14A,"New carnivoraforms (Mammalia) from the middle Eocene of California, USA, and comments on the taxonomic status of ‘Miacis’ gracilis"
"Tseng ZJ, Li Q, Wang X",2013,Journal of Vertebrate Paleontology 33: 1457 - 1471,"A new cursorial hyena from Tibet, and analysis of biostratigraphy, paleozoogeography, and dental morphology of Chasmaporthetes (Mammalia, Carnivora)"
"Tseng ZJ, O’Connor JK, Wang X, Prothero DR",2011,Geodiversitas 31: 743 - 751,"The first Old World occurrence of the North American mustelid Sthenictis (Mammalia, Carnivora)"
"Tseng ZJ, Wang X, Slater GJ, Takeuchi GT, Li Q, Liu J, Xie G",2014,Proceedings of the Royal Society B Biological Sciences 281: 20132686,Himalayan fossils of the oldest known pantherine establish ancient origin of big cats
"Tseng ZJ, Wang X, Stewart JD",2009,PaleoBios 29: 13 - 23,"A new immigrant mustelid (Carnivora, Mammalia) from the middle Miocene Temblor Formation of central California"
"Tsubamoto T, Watabe M, Tsogtbaatar K",2008,Journal of Vertebrate Paleontology 28: 559 - 564,Hyaenodon chunkhtensis and the hyaenodontid fauna from the upper Eocene Ergilin Dzo Formation of Mongolia
"Valenciano A, Abella J, Alba DM, Robles JM, Álvarez-Sierra MA, Morales J",2020,Journal of Mammalian Evolution 27: 73 - 93,"New Early Miocene material of Iberictis, the oldest member of the wolverine lineage (Carnivora, Mustelidae, Guloninae)"
"Valenciano A, Abella J, Göhlich UB, Álvarez-Sierra MA, Morales J",2017,Palaeontologia Electronica 20: 1.17A,"Re-evaluation of the very large Eomellivora fricki (Pia, 1939) (Carnivora, Mustelidae, Mellivorinae) from the Late Miocene of Austria"
"Valenciano A, Abella J, Sanisidro O, Hartstone-Rose A, Álvarez-Sierra MA, Morales J",2015,Journal of Vertebrate Paleontology 35: e934570,"Complete description of the skull and mandible of the giant mustelid Eomellivora piveteaui Ozansoy, 1965 (Mammalia, Carnivora, Mustelidae), from Batallones (MN10), late Miocene (Madrid, Spain)"
"Valenciano A, Baskin JA, Abella J, Pérez-Ramos A, Álvarez-Sierra MA, Morales J, Hartstone-Rose A",2016,PLoS One 11: e0152430,"Megalictis, the Bone-Crushing Giant Mustelid (Carnivora, Mustelidae, Oligobuninae) from the Early Miocene of North America"
"Valenciano A, Govender R",2020,PeerJ 8: e9221,"New insights into the giant mustelids (Mammalia, Carnivora, Mustelidae) from Langebaanweg fossil site (West Coast Fossil Park, South Africa, early Pliocene)"
"Valenciano A, Jiangzuo Q, Wang S, Li C, Zhang X, Ye J",2019,Acta Geologica Sinica 93: 251 - 264,"First Record of Hoplictis (Carnivora, Mustelidae) in East Asia from the Miocene of the Ulungur River Area, Xinjiang, Northwest China"
"Valenciano A, Pérez-Ramos A, Abella J, Morales J",2020,Geodiversitas 42: 103 - 121,"A new hypercarnivorous mustelid (Mammalia, Carnivora, Mustelidae) from Batallones, late Miocene (MN10), Torrejón de Velasco, Madrid, Spain"
"Wallace S, Wang X",2004,Nature 431: 556 - 559,Two new carnivores from an unusual late Tertiary forest biota in eastern North America
"Wallace SC, Hulbert RC",2013,PLoS One 8: e56173,"A new machairodont from the Palmetto Fauna (Early Pliocene) of Florida, with comments on the origin of the Smilodontini (Mammalia, Carnivora, Felidae)"
Van Valen L,1966,Bulletin of the American Museum of Natural History 132: 1 - 126,"Deltatheridia, a new order of mammals"
"Van Valkenburgh B, Grady F, Kurtén B",1990,Journal of Vertebrate Paleontology 10: 434 - 454,The Plio-Pleistocene Cheetah-like cat Miracinonyx inexpectatus of North America
Van Zyll de Jong CG,1972,Royal Ontario Museum Life Sciences Division Contributions 80: 1 - 104,"A systematic review of the Nearctic and Neotropical river otters (genus Lutra, Mustelidae, Carnivora)"
