Auhtor,Year ,Journal ,Paper
"Borths MR, Holroyd PA, Seiffert Er",2016,PeerJ 4: e2639,"Hyainailourine and teratodontine cranial material from the late Eocene of Egypt and the application of parsimony and Bayesian methods to the phylogeny and biogeography of Hyaenodonta (Placentalia, Mammalia)"
"Borths MR, Stevens NJ",2017,PLoS One 12: e0185301,The first hyaenodont from the late Oligocene Nsungwe Formation of Tanzania: Paleoecological insights into the Paleogene-Neogene carnivore transition
"Borths MR, Stevens NJ",2019,Journal of Vertebrate Paleontology 39: e1570222,"Simbakubwa kutokaafrika, gen. et sp. nov. (Hyainailourinae, Hyaenodonta, ‘Creodonta,’ Mammalia), a gigantic carnivore from the earliest Miocene of Kenya"
Bose PN,1880,Quarterly Journal of the Geological Society 36: 119 - 136,Undescribed fossil Ccrnivora from the Siválik Hills in the collection of the British Museum
Broom R,1984,Annals of the Transvaal Museum 21: 1 - 38,Some South African Pliocene and Pleistocene Mammals
Carlsson A,1914,Proceedings of the Zoological Society of London 1914: 227 - 230,On the fossil carnivores Cynodictis intermedius and Cynodon gracilis from the Phosphorites of Quercy
"Cherin M, Lurino DA, Sardella R",2013,Bollettino della Societa Paleontologica Italiana 52: 103 - 111,"New well-preserved material of Lynx issiodorensis valdarnensis (Felidae, Mammalia) from the Early Pleistocene of Pantalla (central Italy)"
"Cherin M, Lurino DA, Willemsen G, Carnevale G",2016,Quaternary Science Reviews 135: 92 - 102,"A new otter from the Early Pleistocene of Pantalla (Italy), with remarks on the evolutionary history of Mediterranean Quaternary Lutrinae (Carnivora, Mustelidae)"
"Chester SGB, Bloch JI, Secord R, Boyer DM",2010,Journal of Mammalian Evolution 17: 227 - 243,"A new small-bodied species of Palaeonictis (Creodonta, Oxyaenidae) from the Paleocene-Eocene thermal maximum"
"Coca-Ortega C, Pérez-Claros JA",2019,PeerJ 6: e6238,Characterizing ecomorphological patterns in hyenids: a multivariate approach using postcanine dentition
"Cohen BF, O’Regan HJ, Steininger CM",2019,Palaeontologia Africana 53: 97 - 113,"Mongoose Manor: Herpestidae remains from the Early Pleistocene Cooper's D locality in the Cradle of Humankind, Gauteng, South Africa"
Colbert EH,1939,Bulletin of the American Museum of Natural History 76: 47 - 81,Carnivora of the Tung Gur Formation of Mongolia
"Colembero S, Pavia M, Rook L",2012,Geodiversitas 34: 665 -681,"Pannonictis nestii (Galictinae, Mustelidae), a new element in the vertebrate association of the human site of Pirro Nord (Italy, Early Pleistocene)"
Cope ED,1890,American Naturalist 24: 950 - 952,On two new species of Mustelida from the Loup Fork Miocene of Nebraska
Cope ED,1896,Proceedings of the Academy of Natural Sciences of Philadelphia 1896: 378 - 394 ,New and little known Mammalia from the Port Kennedy bone deposit
Crochet JY,1988,"Comptes rendus de l'Académie des sciences de Paris, Série 2 307: 1795 - 1798","Le plus ancien Créodonte africain: Koholia atlasense nov. gen., nov. sp. (Eocène inférieur d’El Kohol, Atlas saharien, Algérie)"
"Crochet JY, Peigné S, Mahboubi M",2001,"Proceeding of the eight ASM Symposium, IRD 91: 100",Ancienneté des Carnivora (Mammalia) en Afrique
"Crochet JY, Thomas J, Roger J",1990,"Comptes rendus de l'Académie des sciences de Paris, Série 2 311: 1455 - 1460","Première découverte d'un créodonte dans la péninsule Arabique : Masrasector ligabuei nov. sp. (oligocène inférieur de Taqah, formation d'Ashawq, sultanat d'Oman)"
"Crouzel F, Ginsburg L, Vidalenc D",1976,Bulletin de la Société d'Histoire Naturelle de Toulouse 112: 207 - 229 ,Les carnivores fissipèdes du Stampien terminal de Dieupentale (Tarn-er-Garonne)
Dalquest WW,1978,Journal of Mammalogy 59: 269 - 298,Early Blancan mammals of the Beck Ranch local fauna of Texas
Dashzeveg D,1985,Annales de Paléontologie 71: 223 - 256,"Nouveau Hyaenodontinae (Creodonta, Mammalia) du Paléogène de Mongolie"
Dehm R,1950,Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58: 1 - 141,Die Raubtiere aus dem Mittel-Miocän (Burdigalium) von Wintershof-West bei Eichstätt in Bayern
Denison RH,1938,Annals of the New York Academy of Sciences 37: 163 - 257,The broad-skulled Pseudocreodi
"Egi N, Holroyd PA, Tsubamoto T, Shigehara N, Takai M, Tun ST, Aung AK, Soe AN",2004,Journal of Vertebrate Paleontology 24: 502 - 506,"A New Genus and Species of Hyaenodontid Creodont from the Pond Aung Formation(Eocene, Myanmar)"
"Egi N, Tsubamoto T, Saneyoshi M, Tsogtbaatar K, Watabe M, Mainbayar B, Chinzorig T, Khatanbaatar P",2016,Historical Biology 28: 105 - 119,"Taxonomic revisions on nimravids and small feliforms (Mammalia, Carnivora) from the Upper Eocene of Mongolia"
"Egi N, Tsubamoto T, Takai M",2007,Journal of Paleontology 81: 770 - 778,Systematic status of Asian ‘Pterodon’ and early evolution of hyaenaelurine hyaenodontid creodonts
"Ficcarelli G, Torre D",1976,Bollettino della Societa Paleontologica Italiana 14: 217 - 220,Felis christoli of the pliocene sands of montpellier italy
"Figueirido B, Pérez-Claros JA, Hunt RM, Palmqvist P",2011,Acta Palaeontologica Polonica 56: 225 - 246,Body mass estimation in amphicyonid carnivoran mammals: A multiple regression approach from the skull and skeleton
Filhol H,1876,"Bibliothèque de l’École des Hautes Études, Section des Sciences naturelles. Première partie 15: 1 - 220", Recherches sur les phosphorites du Quercy. Études des fossiles qu’on y rencontre et spécialement des mammifères
Filhol H,1879,Annales des Sciences Géologiques 10: 1 - 252,Étude des mammifères fossiles de Saint-Gérand Le Puy (Allier)
"Flynn JJ, Galiano H",1982,American Museum Novitates 2725: 1 - 64,"Phylogeny of early Tertiary Carnivora, with a description of a new species of Protictis from the Middle Eocene of northwestern Wyoming"
"Forasiepi AM, Soibelzon LH, Gomez CS, Sánchez R, Quiroz LI, Jaramillo C, Sánchez-Villagra MR",2014,Naturwissenschaften 101: 965 - 974,Carnivorans at the Great American Biotic Interchange: new discoveries from the northern neotropics
Fossilworks.org,2020,Homepage,Fossilworks Downloaded July 3 2020
Gaillard C,1899,Archives du Muséum d'histoire naturelle de Lyon 7: 1 - 77,Mammifères miocènes nouveaux ou peu connus de la Grive-Saint-Alban (Isère)
"García-López DA, Ortiz PE, Jaén MCM, Moyano MS",2008,Journal of Vertebrate Paleontology 28: 1232 - 1237,"First record of Arctotherium (Ursidae, Tremarctinae) in northwestern Argentina and its paleobiogeographic significance"
Gaur R,1987,Book,Environment and Ecology of Early Man in Northwest India
Gazin L,1946,Proceedings of the United States National Museum 96: 335 - 347,"Machaeroides eothen Matthew, the sabertooth creodont of the Bridger Eocene"
Gazin L,1957,Smithsonian Miscellaneous Collections 134: 1 - 20,"A skull of the Bridger Middle Eocene creodont, Patriofelis ulta Leidy"
Geraads D,1980,Geobios 13: 441 - 444,"Un nouveau félidé (Fissipeda, Mammalia) du Pléistocène Moyen du Maroc: Lynx thomasi n. sp"
Geraads D,1997,Geobios 30: 127 - 164,"Carnivores du Pliocène terminalde Ahl al Oughlam (Casablanca, Maroc)"
"Geraads D, Alemseged Z, Bellon H",2002,Tertiary Research 21: 113 - 122,"The late Miocene mammalian fauna of Chorora, Awash basin, Ethiopia: Systematics, biochronology and the 40K-40Ar ages of the associated volcanics"
