Family,Genus,Species,Size ,Source,Note
Canidae,Vulpes,vulpes,5.318,Faurby et al (2018) Ecology 99 2626,Reported value
Canidae,Vulpes,zerda,1.1,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Cryptoprocta,ferox,9.5,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Cryptoprocta,spelea,17,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Eupleres,goudotii,3,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Eupleres,major,2.712,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Fossa,fossana,1.5,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Galidia,elegans,0.8,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Galidictis,fasciata,0.55,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Galidictis,grandidieri,1.4,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Mungotictis,decemlineata,0.65,Faurby et al (2018) Ecology 99 2626,Reported value
Eupleridae,Salanoia,concolor,0.65,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Acinonyx,jubatus,46.7,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Caracal,aurata,10.65,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Caracal,caracal,13.75,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Catopuma,badia,2.5,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Catopuma,temminckii,11.5,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Felis,bieti,7.75,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Felis,chaus,7.393,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Felis,margarita,2.525,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Felis,nigripes,1.3,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Felis,silvestris,5.5,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Herpailurus,yagouaroundi,7.875,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,colocolo,3.935,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,geoffroyi,3.59,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,guigna,2.23,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,guttulus,2.674,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,jacobita,9.17,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,pardalis,11.9,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,tigrinus,2.25,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leopardus,wiedii,3.25,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Leptailurus,serval,12,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Lynx,canadensis,9.373,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Lynx,lynx,17.95,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Lynx,pardinus,9.4,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Lynx,rufus,8.904,Faurby et al (2018) Ecology 99 2626,Reported value
Felidae,Neofelis,diardi,20.5,Faurby et al (2018) Ecology 99 2626,Reported value
